cohort_date,activity_week,retained_users
20-01-2001,200128,1
20-01-2001,200133,1
20-01-2001,200220,1
20-01-2001,200228,2
20-01-2001,200233,1
20-01-2001,200429,1
20-01-2001,200525,1
20-01-2001,200620,1
20-01-2001,200625,1
20-01-2001,200634,1
20-01-2001,200720,2
20-01-2001,200728,2
20-01-2001,200820,1
20-01-2001,200824,1
20-01-2001,200829,1
20-01-2001,200920,1
20-01-2001,200924,1
20-01-2001,201025,1
20-01-2001,201320,3
20-01-2001,201333,2
20-01-2001,201420,3
20-01-2001,201520,1
20-01-2001,201720,1
20-01-2001,201725,2
20-01-2001,201820,1
20-01-2001,201824,1
20-01-2001,201833,1
20-01-2001,201920,1
20-01-2001,201924,3
20-01-2001,201933,1
20-01-2001,202020,1
20-01-2001,202129,1
20-01-2001,202225,1
20-01-2001,202233,1
20-01-2001,202320,1
20-01-2001,202329,2
20-01-2001,202334,1
20-01-2001,202420,1
20-01-2001,202424,2
20-01-2001,202428,1
20-01-2001,202524,2
20-01-2001,202624,1
20-01-2001,202720,1
20-01-2001,202733,1
20-01-2001,202820,2
20-01-2001,202834,1
20-01-2001,202920,1
20-01-2001,202928,2
20-01-2001,202933,2
20-01-2001,203020,1
20-01-2001,203024,1
20-01-2001,203028,3
20-01-2001,203120,1
20-02-2001,200120,1
20-02-2001,200224,1
20-02-2001,200520,1
20-02-2001,200620,2
20-02-2001,200720,1
20-02-2001,200728,2
20-02-2001,200820,1
20-02-2001,200829,1
20-02-2001,200920,1
20-02-2001,200924,1
20-02-2001,201029,1
20-02-2001,201129,1
20-02-2001,201133,2
20-02-2001,201234,1
20-02-2001,201320,1
20-02-2001,201333,1
20-02-2001,201420,1
20-02-2001,201533,1
20-02-2001,201620,1
20-02-2001,201625,1
20-02-2001,201833,1
20-02-2001,201920,1
20-02-2001,201928,1
20-02-2001,202129,1
20-02-2001,202229,1
20-02-2001,202233,2
20-02-2001,202320,1
20-02-2001,202329,1
20-02-2001,202529,1
20-02-2001,202825,1
20-02-2001,202834,1
20-02-2001,202924,1
20-02-2001,202928,1
20-02-2001,203020,1
20-02-2001,203033,2
20-03-2001,200133,1
20-03-2001,200220,1
20-03-2001,200429,1
20-03-2001,200529,1
20-03-2001,200533,1
20-03-2001,200625,1
20-03-2001,200728,1
20-03-2001,200833,1
20-03-2001,201133,1
20-03-2001,201333,1
20-03-2001,201433,1
20-03-2001,201620,1
20-03-2001,201633,1
20-03-2001,201729,1
20-03-2001,201828,2
20-03-2001,201833,2
20-03-2001,201933,1
20-03-2001,202024,2
20-03-2001,202033,1
20-03-2001,202229,2
20-03-2001,202233,1
20-03-2001,202325,1
20-03-2001,202334,1
20-03-2001,202420,1
20-03-2001,202428,1
20-03-2001,202529,1
20-03-2001,202633,1
20-03-2001,202729,1
20-03-2001,202733,1
20-03-2001,202825,1
20-03-2001,202834,1
20-03-2001,203028,2
20-04-2001,200120,1
20-04-2001,200133,2
20-04-2001,200220,3
20-04-2001,200320,1
20-04-2001,200324,2
20-04-2001,200425,2
20-04-2001,200429,1
20-04-2001,200520,5
20-04-2001,200533,2
20-04-2001,200620,2
20-04-2001,200625,2
20-04-2001,200634,1
20-04-2001,200720,1
20-04-2001,200724,2
20-04-2001,200820,1
20-04-2001,200829,2
20-04-2001,200833,2
20-04-2001,200920,2
20-04-2001,200924,1
20-04-2001,200929,1
20-04-2001,200933,1
20-04-2001,201025,3
20-04-2001,201029,1
20-04-2001,201120,1
20-04-2001,201125,2
20-04-2001,201129,1
20-04-2001,201221,2
20-04-2001,201225,2
20-04-2001,201320,3
20-04-2001,201324,1
20-04-2001,201333,2
20-04-2001,201420,3
20-04-2001,201429,1
20-04-2001,201433,1
20-04-2001,201520,2
20-04-2001,201529,2
20-04-2001,201620,2
20-04-2001,201625,1
20-04-2001,201629,3
20-04-2001,201729,4
20-04-2001,201820,1
20-04-2001,201824,1
20-04-2001,201828,1
20-04-2001,201833,2
20-04-2001,201920,1
20-04-2001,201928,1
20-04-2001,202020,5
20-04-2001,202024,1
20-04-2001,202033,1
20-04-2001,202120,2
20-04-2001,202125,1
20-04-2001,202129,1
20-04-2001,202133,1
20-04-2001,202220,2
20-04-2001,202229,2
20-04-2001,202233,1
20-04-2001,202320,3
20-04-2001,202329,2
20-04-2001,202420,1
20-04-2001,202424,1
20-04-2001,202428,1
20-04-2001,202529,2
20-04-2001,202533,1
20-04-2001,202620,2
20-04-2001,202633,2
20-04-2001,202720,3
20-04-2001,202733,1
20-04-2001,202820,1
20-04-2001,202829,1
20-04-2001,202920,3
20-04-2001,202928,3
20-04-2001,202933,1
20-04-2001,203020,2
20-04-2001,203024,1
20-04-2001,203028,2
20-04-2001,203120,1
20-04-2001,203129,1
20-05-2001,200120,34
20-05-2001,200124,1
20-05-2001,200224,1
20-05-2001,200228,1
20-05-2001,200233,1
20-05-2001,200425,1
20-05-2001,200429,1
20-05-2001,200433,2
20-05-2001,200520,24
20-05-2001,200525,6
20-05-2001,200620,9
20-05-2001,200634,1
20-05-2001,200720,8
20-05-2001,200724,1
20-05-2001,200733,1
20-05-2001,200820,6
20-05-2001,200833,2
20-05-2001,200920,8
20-05-2001,200924,1
20-05-2001,201020,1
20-05-2001,201025,1
20-05-2001,201029,3
20-05-2001,201125,2
20-05-2001,201234,2
20-05-2001,201320,3
20-05-2001,201324,1
20-05-2001,201420,4
20-05-2001,201433,2
20-05-2001,201520,6
20-05-2001,201533,1
20-05-2001,201620,2
20-05-2001,201725,1
20-05-2001,201729,1
20-05-2001,201824,1
20-05-2001,201828,1
20-05-2001,201924,3
20-05-2001,202020,1
20-05-2001,202033,1
20-05-2001,202120,1
20-05-2001,202220,2
20-05-2001,202320,1
20-05-2001,202329,1
20-05-2001,202420,2
20-05-2001,202424,1
20-05-2001,202428,2
20-05-2001,202533,1
20-05-2001,202624,1
20-05-2001,202629,1
20-05-2001,202720,2
20-05-2001,202725,1
20-05-2001,202820,1
20-05-2001,202834,1
20-05-2001,202920,3
20-05-2001,202928,1
20-05-2001,203020,1
20-05-2001,203024,1
20-05-2001,203028,2
20-05-2001,203120,1
20-05-2001,203129,2
20-06-2001,200124,11
20-06-2001,200128,1
20-06-2001,200228,1
20-06-2001,200324,1
20-06-2001,200429,2
20-06-2001,200433,1
20-06-2001,200525,9
20-06-2001,200533,1
20-06-2001,200625,3
20-06-2001,200724,1
20-06-2001,200728,1
20-06-2001,200824,2
20-06-2001,200829,2
20-06-2001,200833,1
20-06-2001,200924,1
20-06-2001,201025,1
20-06-2001,201125,3
20-06-2001,201225,1
20-06-2001,201324,1
20-06-2001,201424,1
20-06-2001,201429,1
20-06-2001,201524,1
20-06-2001,201529,2
20-06-2001,201625,2
20-06-2001,201725,1
20-06-2001,201729,1
20-06-2001,201824,1
20-06-2001,201828,1
20-06-2001,201924,2
20-06-2001,201928,1
20-06-2001,202024,1
20-06-2001,202524,1
20-06-2001,202529,1
20-06-2001,202620,1
20-06-2001,202624,1
20-06-2001,202720,1
20-06-2001,202825,2
20-06-2001,202829,1
20-06-2001,203028,1
20-06-2001,203129,1
20-07-2001,200128,38
20-07-2001,200133,1
20-07-2001,200228,1
20-07-2001,200329,1
20-07-2001,200429,2
20-07-2001,200433,1
20-07-2001,200529,31
20-07-2001,200533,2
20-07-2001,200629,1
20-07-2001,200634,1
20-07-2001,200728,2
20-07-2001,200829,7
20-07-2001,200833,1
20-07-2001,200929,5
20-07-2001,201029,7
20-07-2001,201129,3
20-07-2001,201229,1
20-07-2001,201234,2
20-07-2001,201328,2
20-07-2001,201333,1
20-07-2001,201429,1
20-07-2001,201433,1
20-07-2001,201529,5
20-07-2001,201533,1
20-07-2001,201629,3
20-07-2001,201633,1
20-07-2001,201729,4
20-07-2001,201828,2
20-07-2001,201833,1
20-07-2001,201928,1
20-07-2001,201933,2
20-07-2001,202029,1
20-07-2001,202229,4
20-07-2001,202329,2
20-07-2001,202334,1
20-07-2001,202428,1
20-07-2001,202529,1
20-07-2001,202533,1
20-07-2001,202629,2
20-07-2001,202633,1
20-07-2001,202733,1
20-07-2001,202829,1
20-07-2001,202834,1
20-07-2001,202928,5
20-07-2001,203028,1
20-07-2001,203129,1
20-08-2001,200120,1
20-08-2001,200128,1
20-08-2001,200133,44
20-08-2001,200233,1
20-08-2001,200320,2
20-08-2001,200329,3
20-08-2001,200420,1
20-08-2001,200429,1
20-08-2001,200433,2
20-08-2001,200533,34
20-08-2001,200620,1
20-08-2001,200634,5
20-08-2001,200728,2
20-08-2001,200733,6
20-08-2001,200833,10
20-08-2001,200933,2
20-08-2001,201029,2
20-08-2001,201033,2
20-08-2001,201133,4
20-08-2001,201225,2
20-08-2001,201229,1
20-08-2001,201234,8
20-08-2001,201324,1
20-08-2001,201333,6
20-08-2001,201429,1
20-08-2001,201433,1
20-08-2001,201533,2
20-08-2001,201633,2
20-08-2001,201725,1
20-08-2001,201729,2
20-08-2001,201828,1
20-08-2001,201833,3
20-08-2001,201924,1
20-08-2001,201928,1
20-08-2001,201933,2
20-08-2001,202029,2
20-08-2001,202033,4
20-08-2001,202129,1
20-08-2001,202133,5
20-08-2001,202229,1
20-08-2001,202233,5
20-08-2001,202329,1
20-08-2001,202334,3
20-08-2001,202428,1
20-08-2001,202433,1
20-08-2001,202529,1
20-08-2001,202624,1
20-08-2001,202629,1
20-08-2001,202633,4
20-08-2001,202725,1
20-08-2001,202928,1
20-08-2001,202933,8
20-08-2001,203028,2
20-08-2001,203129,2
20-09-2001,200224,1
20-09-2001,200233,1
20-09-2001,200433,1
20-09-2001,201424,1
20-09-2001,201429,1
20-09-2001,201725,1
20-09-2001,201729,1
20-09-2001,201824,1
20-09-2001,202129,1
20-09-2001,202229,1
20-09-2001,202329,1
20-09-2001,202424,1
20-09-2001,202629,1
20-09-2001,202829,1
20-10-2001,200128,1
20-10-2001,200329,1
20-10-2001,200429,1
20-10-2001,200525,1
20-10-2001,200620,1
20-10-2001,200629,1
20-10-2001,200929,1
20-10-2001,201025,1
20-10-2001,201129,1
20-10-2001,201234,1
20-10-2001,201320,1
20-10-2001,201324,1
20-10-2001,201420,1
20-10-2001,201529,1
20-10-2001,201629,2
20-10-2001,201729,1
20-10-2001,201824,1
20-10-2001,202020,2
20-10-2001,202120,1
20-10-2001,202220,2
20-10-2001,202229,2
20-10-2001,202329,1
20-10-2001,202424,2
20-10-2001,202428,1
20-10-2001,202524,1
20-10-2001,202633,2
20-10-2001,202720,1
20-10-2001,202733,2
20-10-2001,202928,2
20-10-2001,203020,1
20-11-2001,200120,1
20-11-2001,200220,1
20-11-2001,200329,1
20-11-2001,200429,2
20-11-2001,200533,1
20-11-2001,200728,1
20-11-2001,200920,1
20-11-2001,200929,1
20-11-2001,200933,1
20-11-2001,201129,1
20-11-2001,201320,1
20-11-2001,201324,3
20-11-2001,201424,1
20-11-2001,201520,1
20-11-2001,201625,2
20-11-2001,201629,1
20-11-2001,201633,1
20-11-2001,201720,1
20-11-2001,201725,1
20-11-2001,201729,1
20-11-2001,201928,1
20-11-2001,202024,1
20-11-2001,202120,1
20-11-2001,202133,1
20-11-2001,202424,2
20-11-2001,202428,1
20-11-2001,202529,2
20-11-2001,202834,1
20-11-2001,202933,1
20-11-2001,203024,1
20-11-2001,203129,1
20-12-2001,200133,1
20-12-2001,200224,1
20-12-2001,200233,1
20-12-2001,200425,1
20-12-2001,200533,1
20-12-2001,200634,1
20-12-2001,200728,1
20-12-2001,201133,1
20-12-2001,201429,2
20-12-2001,201524,1
20-12-2001,201828,1
20-12-2001,201928,1
20-12-2001,202428,1
20-12-2001,202529,2
20-12-2001,202533,1
20-12-2001,202729,1
20-12-2001,202829,1
20-12-2001,203129,2
20-01-2002,200120,1
20-01-2002,200128,1
20-01-2002,200133,1
20-01-2002,200220,1
20-01-2002,200224,1
20-01-2002,200228,1
20-01-2002,200324,1
20-01-2002,200329,4
20-01-2002,200420,1
20-01-2002,200425,4
20-01-2002,200433,1
20-01-2002,200525,3
20-01-2002,200620,1
20-01-2002,200625,3
20-01-2002,200634,1
20-01-2002,200720,2
20-01-2002,200724,1
20-01-2002,200728,1
20-01-2002,200733,2
20-01-2002,200820,5
20-01-2002,200920,4
20-01-2002,200924,2
20-01-2002,200929,1
20-01-2002,201020,1
20-01-2002,201029,4
20-01-2002,201120,2
20-01-2002,201125,1
20-01-2002,201129,1
20-01-2002,201225,3
20-01-2002,201234,1
20-01-2002,201320,1
20-01-2002,201324,1
20-01-2002,201333,1
20-01-2002,201420,2
20-01-2002,201424,1
20-01-2002,201433,1
20-01-2002,201520,4
20-01-2002,201533,1
